Tile_ID,Mask_ID,Centroid_X,Centroid_Y,Area,Equivalent_Diameter,2P_thickness
Image_0,165,618.8051948051948,264.9177489177489,231,17.14987856615383,0.0
Image_0,159,600.459940652819,258.8308605341246,337,20.71428798138497,0.0
Image_0,49,579.4166666666666,266.375,48,7.817640190446719,0.0
Image_0,738,562.328947368421,270.8092105263158,152,13.911592676604096,0.0
Image_0,576,546.921875,283.609375,64,9.0270333367641,0.0
Image_0,574,531.0833333333334,277.22222222222223,72,9.574614729634384,0.0
Image_0,571,505.3549295774648,275.01408450704224,355,21.260292528114064,0.0
Image_0,573,489.6418383518225,296.0,631,28.34456125481373,0.0
Image_0,739,469.3320754716981,269.51698113207544,265,18.36868202552426,0.0
Image_0,514,454.2173913043478,299.9782608695652,184,15.306079714651624,-0.7402001179259106
Image_0,515,440.2395209580839,297.45508982035926,167,14.581872443920645,-1.734855107599392
Image_0,519,427.34705882352944,296.74117647058824,170,14.712264360219256,0.24956212181844606
Image_0,518,413.635593220339,297.53389830508473,118,12.257335203001883,0.0
Image_0,520,395.16326530612247,289.9387755102041,49,7.898654169668588,0.0
Image_0,1036,373.136690647482,286.0431654676259,278,18.81384047546846,0.0
Image_0,449,353.81481481481484,282.64074074074074,270,18.5411616971131,0.0
Image_0,450,336.0053475935829,302.3903743315508,187,15.430353037616328,-1.3304520173490744
Image_0,395,322.4347826086956,298.79891304347825,184,15.306079714651624,0.0
Image_0,1006,307.5,312.5,12,3.90882009522336,6.628101633189379
Image_0,403,294.8369565217391,306.5434782608696,92,10.82303275961202,0.0
Image_0,329,252.92156862745097,310.96078431372547,51,8.058239062071396,-2.4945001899609878
Image_0,959,242.6153846153846,314.3736263736264,273,18.64388360059941,0.0
Image_0,324,231.69182389937103,295.29559748427675,159,14.228319915327,0.0
Image_0,326,218.4867256637168,303.98230088495575,113,11.994835078277376,0.0
Image_0,325,200.1076923076923,311.8,130,12.865501965161371,1.4381966848420564
Image_0,321,186.32432432432432,310.86486486486484,111,11.888212206450683,0.0
Image_0,255,170.6865671641791,308.6865671641791,134,13.061933202803932,0.0
Image_0,842,151.20425531914893,325.1531914893617,235,17.297725082009,0.0
Image_0,831,127.9430894308943,317.9146341463415,246,17.697935698969246,0.0
Image_0,813,93.69032258064516,312.0967741935484,310,19.867165345562015,0.0
Image_0,801,71.89252336448598,309.2616822429907,214,16.50676414605009,0.0
Image_0,209,5.794871794871795,314.2991452991453,117,12.205286835384658,0.0
Image_1,124,635.6542056074767,314.6542056074766,107,11.67204486311899,0.0
Image_1,620,620.2657342657343,325.7995337995338,429,23.371344948277684,0.0
Image_1,911,560.0,314.0,1,1.1283791670955126,0.0
Image_1,431,534.3137254901961,311.3529411764706,51,8.058239062071396,0.0
Image_1,940,521.8545454545455,330.8727272727273,55,8.368283871884005,0.0
Image_1,614,500.33673469387753,316.3775510204082,196,15.797308339337176,0.0
Image_1,426,483.2834890965732,315.74766355140184,321,20.21657473114541,0.0
Image_1,606,466.9252336448598,313.07943925233644,214,16.50676414605009,0.0
Image_1,613,448.17992424242425,304.29924242424244,528,25.928179257714294,0.0
Image_1,391,425.1287128712871,305.4306930693069,202,16.03728119216293,0.0
Image_1,934,415.0287081339713,324.09090909090907,418,23.06976657227589,0.0
Image_1,359,394.94,320.295,200,15.957691216057308,0.0
Image_1,826,362.3333333333333,323.6666666666667,6,2.763953195770684,0.0
Image_1,362,352.25,311.2916666666667,96,11.055812783082736,0.0
Image_1,826,340.54761904761904,324.3452380952381,420,23.12489154112443,0.0
Image_1,365,319.93548387096774,323.48387096774195,31,6.282549314314218,0.0
Image_1,873,306.3333333333333,331.25925925925924,297,19.44613444328572,0.0
Image_1,322,294.0,310.2857142857143,7,2.985410660720923,0.0
Image_1,788,278.3921568627451,313.58169934640523,153,13.957279475043832,0.0
Image_1,784,235.97119341563783,318.059670781893,486,24.875578761936158,-11.129486268560525
Image_1,860,225.29710144927537,317.6666666666667,276,18.746042631630413,0.0
Image_1,242,97.92592592592592,321.6296296296296,54,8.291859587312052,0.0
Image_1,725,86.01379310344828,337.42413793103447,290,19.21560480373171,0.0
Image_1,900,68.87939698492463,330.5678391959799,398,22.511093682995384,-0.5794957538174117
Image_1,705,57.0,328.5,6,2.763953195770684,0.0
Image_1,728,45.54022988505747,315.2758620689655,87,10.524820207108489,0.0
Image_1,705,33.59836065573771,327.80737704918033,244,17.625846048215095,0.0
Image_1,702,16.67906976744186,325.33953488372094,215,16.545286401814263,-1.7285667455802525
Image_1,180,4.029850746268656,322.02985074626866,134,13.061933202803932,0.0
Image_2,5,634.5866666666667,308.58666666666664,75,9.772050238058398,0.0
Image_2,754,615.3333333333334,323.0833333333333,12,3.90882009522336,0.0
Image_2,754,594.3907103825137,314.9672131147541,366,21.587164551489145,0.0
Image_2,576,569.4113924050633,294.87974683544303,158,14.183506197980655,0.0
Image_2,128,554.1203319502075,304.99170124481327,241,17.517155313611116,0.0
Image_2,543,536.8556263269639,298.70063694267515,471,24.48868770616877,0.0
Image_2,774,519.1019417475728,300.61650485436894,206,16.195287778099022,0.0
Image_2,380,472.99305555555554,291.2986111111111,144,13.540550005146152,0.0
Image_2,542,457.58988764044943,288.69101123595505,178,15.054455784347004,0.0
